,source_text,target_text,pred_text
0,<query> can you book a table with british cuisine for six people in madrid in a expensive price range,i'm on it,i'm on it
1,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
2,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid six expensive,api_call british madrid six expensive
3,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <query> instead could it be in a moderate price range,sure is there anything else to update,sure is there anything else to update
4,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> actually i would prefer for two people,sure is there anything else to update,sure is there anything else to update
5,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <query> instead could it be in bombay,sure is there anything else to update,sure is there anything else to update
6,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> instead could it be in bombay <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
7,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> instead could it be in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay two moderate,api_call british bombay two moderate
8,<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> instead could it be in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british bombay two moderate <query>  thanks,you're welcome,api_call british bombay two moderate
9,<query> may i have a table in a cheap price range in rome with italian cuisine for six,i'm on it,i'm on it
10,<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
11,<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call italian rome six cheap,api_call italian rome six cheap
12,<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six cheap <query> instead could it be in bombay,sure is there anything else to update,sure is there anything else to update
13,<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six cheap <user> instead could it be in bombay <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
14,<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six cheap <user> instead could it be in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call italian bombay six cheap,api_call italian bombay six cheap
15,<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six cheap <user> instead could it be in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian bombay six cheap <query> thanks,you're welcome,api_call italian bombay six cheap
16,<query> i'd like to book a table with spanish food in a moderate price range for six in london,i'm on it,i'm on it
17,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
18,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london six moderate,api_call spanish london six moderate
19,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <query> instead could it be in a expensive price range,sure is there anything else to update,sure is there anything else to update
20,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <user> instead could it be in a expensive price range <system> sure is there anything else to update <query> actually i would prefer for four people,sure is there anything else to update,sure is there anything else to update
21,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <query> actually i would prefer with french cuisine,sure is there anything else to update,sure is there anything else to update
22,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <user> actually i would prefer with french cuisine <system> sure is there anything else to update <query> instead could it be in paris,sure is there anything else to update,sure is there anything else to update
23,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <user> actually i would prefer with french cuisine <system> sure is there anything else to update <user> instead could it be in paris <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
24,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <user> actually i would prefer with french cuisine <system> sure is there anything else to update <user> instead could it be in paris <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call french paris four expensive,api_call french paris four expensive
25,<context> <user> i'd like to book a table with spanish food in a moderate price range for six in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish london six moderate <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <user> actually i would prefer with french cuisine <system> sure is there anything else to update <user> instead could it be in paris <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call french paris four expensive <query>  thanks,you're welcome,sure is there anything else to update
26,<query> i'd like to book a table in a cheap price range for eight people in madrid with indian food,i'm on it,i'm on it
27,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
28,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid eight cheap,api_call indian madrid eight cheap
29,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <query> instead could it be with spanish food,sure is there anything else to update,sure is there anything else to update
30,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <user> instead could it be with spanish food <system> sure is there anything else to update <query> actually i would prefer in bombay,sure is there anything else to update,sure is there anything else to update
31,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <user> instead could it be with spanish food <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <query> actually i would prefer in a expensive price range,sure is there anything else to update,sure is there anything else to update
32,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <user> instead could it be with spanish food <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <query> instead could it be for six people,sure is there anything else to update,sure is there anything else to update
33,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <user> instead could it be with spanish food <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for six people <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
34,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <user> instead could it be with spanish food <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for six people <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call spanish bombay six expensive,api_call spanish bombay six expensive
35,<context> <user> i'd like to book a table in a cheap price range for eight people in madrid with indian food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight cheap <user> instead could it be with spanish food <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for six people <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call spanish bombay six expensive <query>  thank you,you're welcome,api_call indian bombay six expensive
36,<query> i'd like to book a table for eight in a moderate price range in bombay with french cuisine,i'm on it,i'm on it
37,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
38,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay eight moderate,api_call french bombay eight moderate
39,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <query> actually i would prefer with british food,sure is there anything else to update,sure is there anything else to update
40,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with british food <system> sure is there anything else to update <query> actually i would prefer for six people,sure is there anything else to update,sure is there anything else to update
41,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with british food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <query> actually i would prefer in a cheap price range,sure is there anything else to update,sure is there anything else to update
42,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with british food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
43,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with british food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay six cheap,api_call british bombay six cheap
44,<context> <user> i'd like to book a table for eight in a moderate price range in bombay with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with british food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british bombay six cheap <query>  thanks,you're welcome,sure is there anything else to update
45,<query> may i have a table in paris in a moderate price range for six with italian cuisine,i'm on it,i'm on it
46,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
47,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call italian paris six moderate,api_call italian paris six moderate
48,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian paris six moderate <query> actually i would prefer in rome,sure is there anything else to update,sure is there anything else to update
49,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian paris six moderate <user> actually i would prefer in rome <system> sure is there anything else to update <query> instead could it be for two,sure is there anything else to update,sure is there anything else to update
50,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian paris six moderate <user> actually i would prefer in rome <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <query> actually i would prefer with british cuisine,sure is there anything else to update,sure is there anything else to update
51,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian paris six moderate <user> actually i would prefer in rome <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> actually i would prefer with british cuisine <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
52,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian paris six moderate <user> actually i would prefer in rome <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> actually i would prefer with british cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british rome two moderate,api_call british rome two moderate
53,<context> <user> may i have a table in paris in a moderate price range for six with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian paris six moderate <user> actually i would prefer in rome <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> actually i would prefer with british cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british rome two moderate <query>  thanks,you're welcome,api_call british rome two moderate
54,<query> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six,i'm on it,i'm on it
55,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
56,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome six expensive,api_call spanish rome six expensive
57,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <query> instead could it be with italian cuisine,sure is there anything else to update,sure is there anything else to update
58,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <user> instead could it be with italian cuisine <system> sure is there anything else to update <query> instead could it be in london,sure is there anything else to update,sure is there anything else to update
59,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <user> instead could it be with italian cuisine <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <query> actually i would prefer for two people,sure is there anything else to update,sure is there anything else to update
60,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <user> instead could it be with italian cuisine <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <query> actually i would prefer in a cheap price range,sure is there anything else to update,sure is there anything else to update
61,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <user> instead could it be with italian cuisine <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
62,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <user> instead could it be with italian cuisine <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call italian london two cheap,api_call italian london two cheap
